School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Math,8,6460,Tri-Center,39,45,86.7,80.1 - 90%,,,,,
2016,Reading,6,3119,Interstate 35,51,58,87.9,80.1 - 90%,,,,,
2016,Reading,4,6660,Vinton-Shellsburg,103,114,90.4,90.1 - 100%,,,,,
2016,Reading,11,3204,Jesup,36,43,83.7,80.1 - 90%,,,,,
2016,Math,4,3609,Lenox,26,28,92.9,90.1 - 100%,,,,,
2016,Math,5,0018,Adair-Casey,22,26,84.6,80.1 - 90%,,,,,
2016,Reading,8,6246,Stratford,0,0,0.0,Not Reportable,,,,,
2016,Math,6,2673,Nodaway Valley,28,47,59.6,50.1 - 60%,,,,,
2016,Math,8,3168,IKM-Manning,33,40,82.5,80.1 - 90%,,,,,
2016,Math,5,0081,Albia,62,81,76.5,70.1 - 80%,,,,,
2016,Math,3,1611,Davenport,15,16,93.8,90.1 - 100%,,,,,
2016,Math,5,5013,Oskaloosa,100,151,66.2,60.1 - 70%,,,,,
2016,Math,8,5823,Schaller-Crestland,38,42,90.5,90.1 - 100%,,,,,
2016,Math,7,2718,Griswold,29,34,85.3,80.1 - 90%,,,,,
2016,Reading,3,3195,Greene County,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,8,6098,South Tama County,62,92,67.4,60.1 - 70%,,,,,
2016,Reading,8,3154,Iowa Valley,37,43,86.0,80.1 - 90%,,,,,
2016,Reading,3,6099,South O'Brien,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,1359,Colo-NESCO,24,29,82.8,80.1 - 90%,,,,,
2016,Reading,6,4581,Muscatine,228,323,70.6,70.1 - 80%,,,,,
2016,Reading,6,6273,Sumner-Fredericksburg,48,57,84.2,80.1 - 90%,,,,,
2016,Math,4,3231,Johnston,418,449,93.1,90.1 - 100%,,,,,
2016,Math,11,6660,Vinton-Shellsburg,90,103,87.4,80.1 - 90%,,,,,
2016,Reading,4,6408,Tipton,55,64,85.9,80.1 - 90%,,,,,
2016,Math,3,4419,MFL MarMac,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,2781,Hampton-Dumont,41,77,53.2,50.1 - 60%,,,,,
2016,Math,7,0153,North Butler,34,36,94.4,90.1 - 100%,,,,,
2016,Reading,7,6273,Sumner-Fredericksburg,45,59,76.3,70.1 - 80%,,,,,
2016,Math,7,0009,AGWSR,31,33,93.9,90.1 - 100%,,,,,
2016,Reading,7,3798,Logan-Magnolia,32,39,82.1,80.1 - 90%,,,,,
2016,Reading,4,6093,Solon,107,128,83.6,80.1 - 90%,,,,,
2016,Math,7,1619,Davis County,62,77,80.5,80.1 - 90%,,,,,
2016,Math,11,4787,North Winneshiek,0,0,0.0,Not Reportable,,,,,
2016,Reading,11,0234,Anamosa,58,78,74.4,70.1 - 80%,,,,,
2016,Math,6,6219,Storm Lake,97,150,64.7,60.1 - 70%,,,,,
2016,Math,6,3816,Lone Tree,25,41,61.0,60.1 - 70%,,,,,
2016,Reading,6,6985,West Marshall,57,68,83.8,80.1 - 90%,,,,,
2016,Reading,7,5832,Schleswig,14,21,66.7,60.1 - 70%,,,,,
2016,Math,11,0729,Boone,129,154,83.8,80.1 - 90%,,,,,
2016,Math,11,4068,Marcus-Meriden-Cleghorn,15,19,78.9,70.1 - 80%,,,,,
2016,Math,6,3231,Johnston,451,487,92.6,90.1 - 100%,,,,,
2016,Reading,11,0171,Alta,35,39,89.7,80.1 - 90%,,,,,
2016,Reading,3,3204,Jesup,12,16,75.0,70.1 - 80%,,,,,
2016,Math,5,3154,Iowa Valley,31,34,91.2,90.1 - 100%,,,,,
2016,Math,8,2502,Gladbrook-Reinbeck,20,29,69.0,60.1 - 70%,,,,,
2016,Math,11,3375,Knoxville,107,120,89.2,80.1 - 90%,,,,,
2016,Reading,4,6854,Wayne,29,32,90.6,90.1 - 100%,,,,,
2016,Reading,6,1332,Colfax-Mingo,36,46,78.3,70.1 - 80%,,,,,
2016,Math,11,3105,Independence,92,110,83.6,80.1 - 90%,,,,,
2016,Reading,4,1206,Clarion-Goldfield-Dows,45,62,72.6,70.1 - 80%,,,,,
2016,Reading,7,2673,Nodaway Valley,42,59,71.2,70.1 - 80%,,,,,
2016,Math,7,7038,Wilton,48,61,78.7,70.1 - 80%,,,,,
2016,Math,8,0423,Aurelia,49,56,87.5,80.1 - 90%,,,,,
2016,Math,8,4869,Oelwein,62,81,76.5,70.1 - 80%,,,,,
2016,Reading,3,4086,Marion Independent,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,5,4104,Marshalltown,191,326,58.6,50.1 - 60%,,,,,
2016,Reading,8,0387,Atlantic,83,102,81.4,80.1 - 90%,,,,,
2016,Math,4,5922,West Fork CSD,33,40,82.5,80.1 - 90%,,,,,
2016,Math,6,4773,Northeast,47,50,94.0,90.1 - 100%,,,,,
